Experiment_no,Maintenance (%),No of robs in main,list of main_robs,Duration of Main,q,Period_duration,Working_Period,Total_periods,No_of_robots,No_of_chargers,No_of_sensors,No_of_non_nav_tasks,No_of_nav_task,Charging_time,Ebat,Edod,Emax,Robot_Speed,Dist_change_max,Gamma_Matrix,E_Balance_Zero,Priority,TCM,TCM_obj1,TCM_obj2,TCM_obj2_weighted,TCM_total_cost,total_cost_LP,TCM_Total_tasks,TCM_task_downtime,TCM_TA%,TCM_run_time_with_LP,TCM_run_time_without_LP,TCM_EEF,TCM_SoC_v,run_time_LP,,TCM_rand_main_obj1,TCM_rand_main_obj2,TCM_rand_main_obj2_weighted,TCM_rand_main_total_cost,TCM_rand_main_Total_tasks,TCM_rand_main_task_downtime,TCM_rand_main_TA%,TCM_rand_main_run_time,TCM_rand_main_EEF,TCM_rand_main_SoC_v,,Rand_Alloc_rand_main_obj1,Rand_Alloc_rand_main_obj2,Rand_Alloc_rand_main_obj2_weighted,Rand_Alloc_rand_main_total_cost,Rand_Alloc_rand_main_Total_tasks,Rand_Alloc_rand_main_task_downtime,Rand_Alloc_rand_main_TA%,Rand_Alloc_rand_main_run_time,Rand_Alloc_rand_main_EEF,Rand_Alloc_rand_main_SoC_v
10,0.3,6,"[3, 7, 1, 5, 2, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 65, 1: 104, 2: 41, 3: 57, 4: 99, 5: 69, 6: 108, 7: 46}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,95,4.85683014,1110.999895,1205.999895,-6.64E-11,1830,95,0.948087432,24.89380908,1.659693003,1.168899931,758.3097626,0,,61,8.156608544,1865.824205,1926.824205,1830,61,0.966666667,2.056584358,1.162597985,1729.675028,,218,13.00371387,2974.599548,3192.599548,1830,218,0.880874317,1.298547983,1.69440235,3013.367443
11,0.3,6,"[6, 1, 7, 0, 5, 3]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 44, 1: 107, 2: 87, 3: 75, 4: 83, 5: 95, 6: 66, 7: 55}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.131291723,945.0329815,1065.032982,-2.84E-11,1830,120,0.93442623,26.90274239,1.663318872,1.178961173,549.9377495,0,,92,6.505050437,1488.030287,1580.030287,1830,92,0.949726776,2.035699129,1.173482816,1343.766947,,236,12.31494246,2817.043088,3053.043088,1830,236,0.871038251,1.319219589,1.665705542,3180.755584
12,0.3,6,"[7, 4, 2, 6, 5, 0]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 99, 1: 108, 2: 51, 3: 81, 4: 74, 5: 50, 6: 69, 7: 65}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.432783267,1013.999172,1133.999172,-3.61E-11,1830,120,0.93442623,24.8660593,1.680454493,1.179988124,641.2675172,0,,99,6.723627433,1538.029775,1637.029775,1830,99,0.945901639,2.020563841,1.174764413,1496.314889,,252,11.78637199,2696.132593,2948.132593,1830,252,0.862295082,1.32177186,1.685962987,3199.799616
13,0.3,6,"[1, 2, 5, 3, 4, 0]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 53, 1: 106, 2: 102, 3: 42, 4: 52, 5: 82, 6: 79, 7: 38}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,126,4.611878995,1054.96732,1180.96732,-1.44E-10,1830,126,0.931147541,24.90443087,1.664746046,1.174514867,700.1706559,0,,72,7.266682567,1662.253637,1734.253637,1830,72,0.960655738,2.052553892,1.167982822,1310.233287,,232,12.17927513,2786.009185,3018.009185,1830,232,0.873224044,1.307377338,1.658181682,3020.602825
14,0.3,6,"[1, 3, 0, 5, 7, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 90, 1: 47, 2: 76, 3: 64, 4: 80, 5: 58, 6: 71, 7: 65}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.270065633,976.7775136,1096.777514,-4.41E-11,1830,120,0.93442623,24.74170923,1.645616531,1.150435089,347.7223076,0,,130,7.094411206,1622.846563,1752.846563,1830,130,0.928961749,2.019151688,1.185944986,1475.548024,,273,12.22914964,2797.417981,3070.417981,1830,273,0.850819672,1.327159882,1.672745975,2892.792853
15,0.3,6,"[3, 4, 0, 2, 1, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 107, 1: 85, 2: 47, 3: 81, 4: 67, 5: 52, 6: 103, 7: 105}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,65,4.84895903,1109.199378,1174.199378,-5.49E-11,1830,65,0.964480874,24.91559267,1.6453619,1.169061477,625.2225987,0,,71,6.304144035,1442.072948,1513.072948,1830,71,0.931202186,2.032671928,1.169824653,1202.210317,,209,12.94126322,2960.313961,3169.313961,1830,209,0.88579235,1.330554247,1.662842134,3020.936403
16,0.3,6,"[7, 4, 5, 0, 6, 1]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 49, 1: 100, 2: 62, 3: 91, 4: 56, 5: 46, 6: 75, 7: 88}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,125,4.47475725,1023.600721,1148.600721,2.32E-11,1830,125,0.931693989,26.51324892,1.649632931,1.179860473,567.7705181,0,,76,7.111701106,1626.801628,1702.801628,1830,76,0.938469945,2.084177017,1.169977955,1085.232824,,283,11.52971282,2637.421807,2920.421807,1830,283,0.845355191,1.283602238,1.708120298,3109.844148
17,0.3,6,"[7, 3, 0, 6, 2, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 82, 1: 39, 2: 99, 3: 64, 4: 105, 5: 42, 6: 79, 7: 103}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,125,4.584135435,1048.620981,1173.620981,-6.42E-11,1830,125,0.931693989,24.6619432,1.637718439,1.185059138,546.6872713,0,,58,6.844339549,1565.642672,1623.642672,1830,58,0.968306011,1.985511065,1.178765,1689.620984,,229,12.45557393,2849.212537,3078.212537,1830,229,0.874863388,1.304345608,1.698397162,2956.354067
18,0.3,6,"[1, 3, 4, 7, 6, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 101, 1: 43, 2: 40, 3: 103, 4: 86, 5: 77, 6: 46, 7: 68}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,95,4.547040141,1040.135432,1135.135432,-5.96E-11,1830,95,0.948087432,24.72092628,1.636795044,1.176561943,580.7129668,0,,71,8.277270078,1893.42553,1964.42553,1830,71,0.961202186,2.007091284,1.171974332,1521.804794,,232,12.36072161,2827.515067,3059.515067,1830,232,0.873224044,1.31007123,1.649577818,3139.119777
19,0.3,6,"[2, 0, 7, 1, 5, 6]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 87, 1: 92, 2: 90, 3: 77, 4: 60, 5: 76, 6: 63, 7: 88}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.253969747,973.0955797,1093.09558,-8.57E-11,1830,120,0.93442623,24.67445469,1.603617191,1.166135812,464.6551409,0,,46,6.025306259,1378.288807,1424.288807,1830,46,0.934863388,2.021360397,1.165110116,1106.214818,,212,12.96192128,2965.039493,3177.039493,1830,212,0.884153005,1.30248189,1.655488125,3304.534221
