Experiment_no,Maintenance (%),No of robs in main,list of main_robs,Duration of Main,q,Period_duration,Working_Period,Total_periods,No_of_robots,No_of_chargers,No_of_sensors,No_of_non_nav_tasks,No_of_nav_task,Charging_time,Ebat,Edod,Emax,Robot_Speed,Dist_change_max,Gamma_Matrix,E_Balance_Zero,Priority,TCM,TCM_obj1,TCM_obj2,TCM_obj2_weighted,TCM_total_cost,total_cost_LP,TCM_Total_tasks,TCM_task_downtime,TCM_TA%,TCM_run_time_with_LP,TCM_run_time_without_LP,TCM_EEF,TCM_SoC_v,run_time_LP,,TCM_rand_main_obj1,TCM_rand_main_obj2,TCM_rand_main_obj2_weighted,TCM_rand_main_total_cost,TCM_rand_main_Total_tasks,TCM_rand_main_task_downtime,TCM_rand_main_TA%,TCM_rand_main_run_time,TCM_rand_main_EEF,TCM_rand_main_SoC_v,,Rand_Alloc_rand_main_obj1,Rand_Alloc_rand_main_obj2,Rand_Alloc_rand_main_obj2_weighted,Rand_Alloc_rand_main_total_cost,Rand_Alloc_rand_main_Total_tasks,Rand_Alloc_rand_main_task_downtime,Rand_Alloc_rand_main_TA%,Rand_Alloc_rand_main_run_time,Rand_Alloc_rand_main_EEF,Rand_Alloc_rand_main_SoC_v
20,0.3,6,"[6, 2, 7, 3, 0, 1]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 83, 1: 61, 2: 38, 3: 47, 4: 90, 5: 81, 6: 49, 7: 106}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.030773247,922.0393804,1042.03938,-1.18E-10,1830,120,0.93442623,25.10260296,1.603667974,1.17083324,529.691475,0,,97,6.969875525,1594.359026,1691.359026,1830,97,0.946994536,1.990193129,1.174680751,1215.679723,,261,12.61254367,2885.119364,3146.119364,1830,261,0.857377049,1.300510645,1.644934402,3065.218041
21,0.3,6,"[2, 3, 5, 1, 4, 0]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 49, 1: 78, 2: 99, 3: 109, 4: 52, 5: 44, 6: 104, 7: 39}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,125,4.337444536,992.1904377,1117.190438,4.17E-12,1830,125,0.931693989,26.41252732,1.639588833,1.180652968,577.5180609,0,,56,7.172584211,1640.728638,1696.728638,1830,56,0.969398907,1.981261969,1.171049285,1503.051688,,263,12.43178262,2843.770274,3106.770274,1830,263,0.856284153,1.335476875,1.681118497,3268.975851
22,0.3,6,"[1, 2, 0, 4, 7, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 85, 1: 101, 2: 51, 3: 108, 4: 74, 5: 103, 6: 58, 7: 55}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.163352699,952.3669299,1072.36693,-7.29E-11,1830,120,0.93442623,24.86776972,1.624833822,1.175312301,513.9690626,0,,91,6.12123689,1400.232939,1491.232939,1830,91,0.950273224,2.055556774,1.192345,1211.452545,,284,11.64596872,2664.015345,2948.015345,1830,284,0.844808743,1.285573006,1.683937368,2953.095337
23,0.3,6,"[6, 0, 5, 2, 1, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 51, 1: 65, 2: 92, 3: 64, 4: 74, 5: 58, 6: 51, 7: 70}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,75,5.276459519,1206.990115,1281.990115,-6.23E-11,1830,75,0.959016393,24.75123215,1.596992731,1.162829037,779.2178039,0,,95,6.676570851,1527.265582,1622.265582,1830,95,0.948087432,2.000744581,1.169861522,1406.444689,,254,12.14475227,2778.112081,3032.112081,1830,254,0.861202186,1.300596476,1.669311786,3257.424032
24,0.3,6,"[4, 7, 2, 0, 5, 6]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 86, 1: 93, 2: 74, 3: 88, 4: 87, 5: 95, 6: 75, 7: 49}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,100,4.51508926,1032.826668,1132.826668,-5.55E-11,1830,100,0.945355191,24.7993834,1.643962622,1.176770563,586.7161496,0,,75,7.530889251,1722.690916,1797.690916,1830,75,0.959016393,2.007872343,1.15909432,1414.716821,,234,11.55046369,2642.168569,2876.168569,1830,234,0.872131148,1.303980589,1.692639194,2973.075298
25,0.3,6,"[1, 6, 2, 3, 7, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 73, 1: 59, 2: 81, 3: 90, 4: 102, 5: 107, 6: 49, 7: 92}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.04946137,926.3142885,1046.314288,-1.01E-10,1830,120,0.93442623,27.05225301,1.66391778,1.173983288,414.3785635,0,,81,6.280698122,1436.709695,1517.709695,1830,81,0.955737705,2.045233011,1.172704842,1092.645455,,261,12.54154492,2868.8784,3129.8784,1830,261,0.857377049,1.292028189,1.739350085,3192.525999
26,0.3,6,"[3, 4, 5, 6, 1, 7]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 46, 1: 85, 2: 57, 3: 78, 4: 47, 5: 97, 6: 84, 7: 60}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.375347799,1000.860809,1120.860809,-1.82E-10,1830,120,0.93442623,24.90014887,1.641186237,1.18443012,480.8389974,0,,107,7.362658446,1684.20812,1791.20812,1830,107,0.941530055,1.994549751,1.174766522,1409.397622,,247,13.05354764,2985.999023,3232.999023,1830,247,0.865027322,1.29013896,1.644251971,3102.210608
27,0.3,6,"[7, 0, 3, 1, 2, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 61, 1: 52, 2: 99, 3: 109, 4: 104, 5: 68, 6: 104, 7: 71}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,90,4.378703826,1001.6285,1091.6285,-6.09E-11,1830,90,0.950819672,24.82812858,1.682764053,1.171043515,829.4764079,0,,81,6.110219923,1397.712807,1478.712807,1830,81,0.935737705,2.055843115,1.167396007,1306.746313,,267,12.87981424,2946.257506,3213.257506,1830,267,0.854098361,1.333053827,1.70694738,3262.730501
28,0.3,6,"[0, 1, 4, 2, 3, 7]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 103, 1: 58, 2: 40, 3: 102, 4: 53, 5: 54, 6: 105, 7: 90}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,90,4.79534474,1096.935109,1186.935109,-1.12E-11,1830,90,0.950819672,24.63517833,1.630064249,1.171635918,843.411747,0,,84,7.226078844,1652.965536,1736.965536,1830,84,0.934098361,2.039469004,1.171762049,1627.899738,,249,12.1685995,2783.567136,3032.567136,1830,249,0.863934426,1.305323601,1.699048072,3054.464295
29,0.3,6,"[1, 5, 2, 3, 0, 6]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 98, 1: 63, 2: 87, 3: 48, 4: 64, 5: 105, 6: 40, 7: 65}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,101,5.186062218,1186.311732,1287.311732,-6.37E-11,1830,101,0.944808743,24.70236731,1.649251699,1.177479331,874.4370425,0,,61,6.286528979,1438.043504,1499.043504,1830,61,0.966666667,1.92515254,1.174830842,1168.700388,,243,13.20111818,3019.755784,3262.755784,1830,243,0.867213115,1.303278685,1.671810113,3125.174891
30,0.3,6,"[7, 5, 6, 2, 4, 0]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 38, 1: 79, 2: 93, 3: 83, 4: 100, 5: 100, 6: 49, 7: 75}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.248127098,971.7590737,1091.759074,-8.45E-11,1830,120,0.93442623,26.51071835,1.617026567,1.178233208,557.3159772,0,,61,7.279005389,1665.072483,1726.072483,1830,61,0.936666667,1.943030834,1.166302508,1402.073634,,269,12.03665923,2753.385799,3022.385799,1830,269,0.853005464,1.295246601,1.759711545,3137.218164
31,0.3,6,"[1, 4, 0, 2, 7, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 72, 1: 38, 2: 94, 3: 107, 4: 87, 5: 74, 6: 59, 7: 59}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.534931367,1037.36555,1157.36555,-4.72E-11,1830,120,0.93442623,24.83616376,1.614000559,1.16572696,600.4054659,0,,55,6.104678155,1396.445128,1451.445128,1830,55,0.939945355,2.010393858,1.1798,1079.201708,,240,11.83595051,2707.473679,2947.473679,1830,240,0.868852459,1.304254055,1.711590046,2940.214701
32,0.3,6,"[3, 2, 4, 1, 5, 6]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 41, 1: 41, 2: 52, 3: 69, 4: 55, 5: 97, 6: 62, 7: 99}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,125,4.639420008,1061.267327,1186.267327,-1.50E-10,1830,125,0.931693989,24.72808242,1.609136581,1.18025585,493.6155848,0,,84,7.627269848,1744.737978,1828.737978,1830,84,0.954098361,1.904382467,1.181861803,1468.596544,,227,12.9842156,2970.139319,3197.139319,1830,227,0.875956284,1.349968672,1.669559034,3070.300106
33,0.3,6,"[0, 3, 2, 7, 6, 4]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 47, 1: 63, 2: 75, 3: 95, 4: 59, 5: 48, 6: 52, 7: 62}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.662681787,1066.588459,1186.588459,-5.16E-11,1830,120,0.93442623,24.85627556,1.597225428,1.175262927,596.8886643,0,,61,6.595620023,1508.74808,1569.74808,1830,61,0.966666667,1.959391356,1.165075671,1666.790824,,242,12.74762186,2916.018501,3158.018501,1830,242,0.867759563,1.30741477,1.614546689,3150.768904
34,0.3,6,"[5, 1, 2, 3, 0, 6]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 98, 1: 40, 2: 62, 3: 75, 4: 57, 5: 41, 6: 100, 7: 106}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.245749661,971.2152349,1091.215235,-9.84E-11,1830,120,0.93442623,26.48758507,1.629579067,1.183727056,500.4706431,0,,86,6.797897128,1555.018968,1641.018968,1830,86,0.953005464,1.964411736,1.173563255,1269.650094,,258,12.7444692,2915.297329,3173.297329,1830,258,0.859016393,1.279700994,1.745880978,2999.543262
35,0.3,6,"[3, 7, 5, 0, 2, 1]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 80, 1: 49, 2: 64, 3: 80, 4: 89, 5: 99, 6: 94, 7: 45}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,90,4.42971468,1013.297233,1103.297233,-5.23E-11,1830,90,0.950819672,24.7445693,1.59834671,1.158763224,658.8195408,0,,102,6.486210562,1483.720666,1585.720666,1830,102,0.944262295,1.892538309,1.189876,1226.118683,,225,12.07821847,2762.892476,2987.892476,1830,225,0.87704918,1.307749271,1.688250396,3046.877168
36,0.3,6,"[4, 3, 6, 2, 7, 1]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 65, 1: 63, 2: 56, 3: 79, 4: 98, 5: 70, 6: 56, 7: 92}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.48318319,1025.528155,1145.528155,-1.77E-10,1830,120,0.95442623,24.59366822,1.615471125,1.159236801,472.7238537,0,,42,6.290589403,1438.972326,1480.972326,1830,42,0.93704918,1.900283575,1.182398,1582.538006,,178,12.66120128,2896.249793,3074.249793,1830,178,0.90273224,1.301807642,1.61424253,2682.862451
37,0.3,6,"[7, 4, 2, 0, 5, 6]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 110, 1: 69, 2: 78, 3: 39, 4: 68, 5: 67, 6: 92, 7: 62}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,125,4.565865197,1044.441664,1169.441664,3.00E-12,1830,125,0.931693989,89.32226825,1.64099288,1.154351279,586.8766645,0,,113,6.047304402,1383.320882,1496.320882,1830,113,0.938251366,1.994703293,1.182729063,1228.762002,,258,12.38849874,2833.869086,3091.869086,1830,258,0.859016393,1.286031008,1.726232842,3136.434918
38,0.3,6,"[7, 4, 2, 5, 6, 3]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 47, 1: 92, 2: 51, 3: 68, 4: 82, 5: 101, 6: 78, 7: 39}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.378296164,1001.535248,1121.535248,-6.77E-11,1830,120,0.93442623,24.87879157,1.631127596,1.169860647,542.2289214,0,,50,7.018639472,1605.513779,1655.513779,1830,50,0.972677596,1.892630577,1.16068553,1525.102285,,262,13.0182732,2977.929995,3239.929995,1830,262,0.856830601,1.333803415,1.69637479,3083.662612
39,0.3,6,"[0, 1, 7, 4, 3, 5]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 43, 1: 62, 2: 108, 3: 71, 4: 68, 5: 98, 6: 69, 7: 85}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,3.964842491,906.9577198,1026.95772,-1.24E-10,1830,120,0.93442623,26.4485805,1.611750841,1.174547294,457.1868159,0,,71,6.163860438,1409.983075,1480.983075,1830,71,0.931202186,1.909316301,1.171974332,957.1521995,,247,12.69534194,2904.059468,3151.059468,1830,247,0.865027322,1.286419392,1.725212082,3221.497259
40,0.3,6,"[4, 0, 5, 1, 7, 2]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 56, 1: 102, 2: 90, 3: 67, 4: 89, 5: 103, 6: 98, 7: 62}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.00607961,916.3907107,1036.390711,-9.66E-11,1830,120,0.95442623,24.89398718,1.614494801,1.173508922,559.0869287,0,,62,6.445279103,1474.357595,1536.357595,1830,62,0.966120219,1.930641174,1.166961958,1350.599035,,283,11.36702314,2600.206544,2883.206544,1830,283,0.845355191,1.309654236,1.71237492,3090.878548
41,0.3,6,"[7, 0, 1, 3, 5, 6]",6,1,0.166666667,10,60,8,8,2,5,6,0.75,111,33,89,3600,500,"{(0, 0): 1, (0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (1, 0): 1, (1, 1): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 0): 1, (2, 1): 1, (2, 2): 1, (2, 3): 1, (2, 4): 1, (3, 0): 1, (3, 1): 1, (3, 2): 1, (3, 3): 1, (3, 4): 1, (4, 0): 1, (4, 1): 1, (4, 2): 1, (4, 3): 1, (4, 4): 1, (5, 0): 1, (5, 1): 1, (5, 2): 1, (5, 3): 1, (5, 4): 1}","{0: 101, 1: 58, 2: 100, 3: 61, 4: 99, 5: 48, 6: 42, 7: 72}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1}",0,120,4.502058375,1029.845853,1149.845853,-5.00E-11,1830,120,0.93442623,24.36256456,1.584546328,1.181143627,554.5994227,0,,78,6.884156379,1574.750772,1652.750772,1830,78,0.957377049,1.883038044,1.16790554,1369.112694,,291,13.35317556,3054.53891,3345.53891,1830,291,0.840983607,1.337050438,1.693741593,3046.812993
